סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
1,ירושלים,3000,643,103,1,102,2,2,84,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0,
2,נחליאל,3767,332,252,0,252,2,63,2,0,0,0,62,0,0,0,0,0,0,0,0,0,49,0,0,0,16,0,0,0,0,0,0,0,0,58,
2,עטרת,3658,299,237,0,237,1,5,0,0,0,0,174,0,0,0,0,0,0,0,0,0,46,0,0,0,9,0,1,0,0,0,0,0,0,1,
2,עמיחי,3824,73,66,0,66,0,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,1,0,0,0,0,0,0,7,
2,יד השמונה,1134,161,114,0,114,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,37,0,0,0,0,0,48,0,0,0,0,0,0,0,
2,כסלון,859,277,213,0,213,11,1,1,1,0,0,6,0,0,0,0,0,0,0,0,3,129,0,0,0,0,0,16,1,0,0,0,0,0,44,
2,נטף,1254,345,246,0,246,111,0,15,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,113,0,0,0,0,0,0,0,
2,קרית ענבים,78,305,205,0,205,66,0,3,0,0,0,1,0,0,0,0,0,0,0,0,6,21,1,0,0,0,0,105,0,0,0,0,0,0,2,
2,גיזו,1043,146,113,0,113,22,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,32,0,0,0,0,0,0,3,
2,גפן,39,266,224,0,224,4,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,148,0,0,0,4,0,19,0,0,0,0,0,0,38,
2,הראל,464,220,120,0,120,45,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,63,0,0,0,0,0,0,0,
2,מחסיה,776,318,261,0,261,5,9,0,0,0,0,8,0,0,0,0,0,0,0,0,1,158,0,0,0,4,0,24,0,0,0,0,0,0,52,
2,נווה שלום,1259,225,171,0,171,46,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,
2,עגור,794,302,242,0,242,10,14,1,0,0,0,2,0,0,0,0,0,0,0,0,1,160,0,0,0,2,0,17,0,0,0,0,0,0,35,
2,צפרירים,1079,307,207,2,205,32,2,6,0,0,0,5,0,0,0,0,0,0,0,0,4,80,0,0,0,0,0,61,0,0,0,0,0,0,15,
2,שדות מיכה,27,267,202,0,202,5,1,0,0,0,0,13,0,0,0,0,0,0,0,0,4,111,0,0,0,1,0,14,0,0,0,0,0,0,53,
2,תירוש,10,331,252,0,252,2,3,0,0,0,0,10,0,0,0,0,0,0,0,0,1,136,0,0,0,1,0,5,0,0,0,0,0,0,94,
2,אדורה,3759,246,191,0,191,5,4,1,0,0,0,60,0,0,0,0,0,0,0,0,4,72,1,0,0,9,0,32,0,0,0,0,0,0,3,
2,חברון,3400,297,216,1,215,0,21,0,0,0,0,98,0,0,0,0,0,0,0,0,1,45,0,0,0,39,0,2,0,0,0,0,0,2,7,
2,חגי,3764,335,262,0,262,0,16,0,0,0,0,179,0,0,0,0,0,0,0,0,0,57,0,0,0,8,0,0,0,0,0,0,0,0,2,
2,מגדל עוז,3561,259,164,1,163,0,0,0,0,0,0,113,0,0,0,0,0,0,0,1,0,38,1,0,0,1,0,8,0,0,0,0,0,0,1,
2,נגוהות,3724,142,123,1,122,0,2,0,1,0,0,78,0,0,0,0,0,0,0,0,0,22,0,0,0,15,0,1,0,0,0,0,0,0,3,
2,פני חבר,3723,229,175,2,173,0,35,0,0,0,0,95,0,0,0,0,0,0,0,0,0,27,0,0,0,7,0,4,0,0,0,0,0,0,5,
2,תלם,3719,205,164,0,164,0,11,0,0,0,0,74,0,0,0,0,0,0,0,0,5,55,1,0,0,9,0,5,0,0,0,0,0,0,4,
2,אלמוג,3556,193,135,1,134,31,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,26,1,0,0,0,0,68,0,0,0,0,0,0,0,
2,בית הערבה,3645,175,142,0,142,5,0,0,0,0,0,28,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,41,0,0,0,0,0,0,3,
2,גלגל,3606,155,91,1,90,10,1,1,0,0,0,5,0,0,0,0,0,0,0,0,2,37,0,0,0,1,0,32,0,0,0,0,0,0,1,
2,ורד יריחו,3639,238,189,2,187,10,1,0,0,0,0,12,0,0,0,0,0,0,0,0,5,105,0,0,0,2,0,47,1,0,0,0,0,0,4,
2,ייטב,3607,205,160,1,159,2,5,0,3,0,0,64,0,0,0,0,0,0,0,0,8,71,2,0,0,1,0,2,0,0,0,0,0,0,1,
2,מצפה שלם,3610,251,187,1,186,29,1,0,0,0,0,41,0,0,0,0,0,0,0,0,4,39,0,0,0,1,0,71,0,0,0,0,0,0,0,
2,נעמה,3713,145,88,0,88,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,40,0,0,0,0,0,0,2,
2,נתיב הגדוד,3555,233,167,1,166,46,0,2,1,0,0,5,0,0,0,0,0,0,0,0,6,44,0,0,0,0,0,60,0,0,0,1,1,0,0,
2,קליה,3601,318,222,0,222,12,1,1,0,0,0,14,0,0,0,0,0,0,0,0,17,49,0,0,0,0,0,127,1,0,0,0,0,0,0,
2,תומר,3558,246,189,0,189,15,1,0,0,0,0,14,0,0,0,0,0,0,0,0,5,66,0,0,0,3,0,85,0,0,0,0,0,0,0,
3,אביבים,1115,332,246,0,246,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,4,0,0,0,0,0,0,61,
3,אור הגנוז,1294,281,184,0,184,2,83,0,0,0,0,3,0,0,0,0,0,0,0,0,0,31,0,0,0,6,0,1,0,0,0,0,0,0,58,
3,דובב,1067,361,250,0,250,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,197,0,0,0,5,0,17,0,0,0,0,0,0,20,
3,דישון,2063,296,198,1,197,7,1,0,0,0,0,14,0,0,0,0,0,0,0,0,6,104,4,0,0,4,0,39,0,0,0,0,0,0,18,
3,חזון,1047,257,227,0,227,2,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,155,0,0,0,3,0,12,0,0,0,0,0,0,33,
3,כדיתה,1338,126,62,2,60,7,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,16,0,0,0,0,0,0,1,
3,כפר שמאי,605,335,263,0,263,11,13,1,0,0,0,30,0,0,0,0,0,0,1,0,1,143,1,0,0,4,0,13,0,0,0,0,0,0,45,
3,מרגליות,843,342,196,0,196,32,4,1,0,0,0,4,0,0,0,0,0,0,0,0,3,95,0,1,0,3,0,43,0,0,0,0,0,0,10,
3,עמוקה,1212,143,97,2,95,20,0,3,0,0,0,4,0,0,0,0,0,0,0,0,2,11,0,0,0,0,1,53,0,0,0,0,0,0,1,
3,צבעון,1213,163,138,2,136,59,1,4,0,0,0,8,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,57,0,0,0,0,0,0,0,
3,שפר,846,321,227,0,227,13,5,0,0,0,0,9,0,0,0,0,0,0,0,0,1,138,1,0,0,2,0,39,0,0,0,0,0,0,19,
3,כורזים,1252,336,216,0,216,40,5,1,1,0,0,6,0,0,0,0,0,0,0,0,7,30,1,0,0,0,0,125,0,0,0,0,0,0,0,
3,גונן,852,343,234,0,234,56,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,156,0,0,0,0,0,0,0,
3,מנרה,347,212,142,1,141,46,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,80,0,0,1,0,0,0,0,
3,משגב עם,378,259,169,1,168,59,0,1,0,0,0,2,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,87,0,0,0,0,0,0,0,
3,אודם,4010,121,89,0,89,10,0,1,1,0,0,5,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0,54,0,0,0,0,0,0,1,
3,אורטל,4013,248,177,0,177,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,110,0,0,0,0,0,0,2,
3,אלרום,4003,343,252,2,250,61,0,1,0,0,0,9,0,0,0,0,0,0,0,0,19,38,1,0,0,0,0,121,0,0,0,0,0,0,0,
3,אלוני הבשן,4017,221,152,0,152,3,1,0,1,0,0,78,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,4,0,0,0,0,0,0,2,
3,נווה אטיב,4303,163,98,0,98,10,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,22,1,0,0,0,0,50,0,0,1,0,0,0,1,
3,עין זיוון,4503,281,187,0,187,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,29,0,0,0,1,0,110,0,0,0,0,0,0,0,
3,עין קנייא,4502,146,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,
