שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
ביריה,368,592,434,0,434,17,13,0,0,0,0,0,23,0,1,0,0,0,0,0,31,11,238,3,0,0,0,38,0,0,0,0,0,0,1,0,58
בית נקופה,672,474,368,0,368,27,2,1,0,0,0,18,15,0,0,0,0,0,0,0,5,16,91,42,1,0,0,132,0,0,0,0,0,0,0,0,18
בית שאן,9200,5002,3494,13,3481,160,49,8,0,0,0,2,184,0,0,0,0,0,0,0,119,63,1916,5,0,1,0,224,0,0,0,0,0,1,1,0,748
בית שמש,2610,8780,5184,19,5165,41,2411,0,1,0,0,4,570,0,1,1,1,0,0,3,208,148,661,12,0,0,0,160,0,1,0,0,0,0,0,0,942
ביתר עילית,3780,6053,4945,28,4917,0,3169,0,1,0,0,0,58,0,1,0,0,0,0,0,206,2,136,0,0,0,0,8,0,0,0,0,0,0,0,0,1336
בלפוריה,94,393,322,0,322,32,3,0,0,0,0,9,19,0,1,0,0,0,0,0,3,26,51,18,0,0,0,156,0,0,0,0,0,0,0,0,4
גסר אזרקא,541,1345,527,7,520,4,1,478,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,7,1,1,0,12,1,2,0,1,4,0,1,0,1
גת,628,1232,569,5,564,1,0,525,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,20,0,0,0,6,1,0,0,0,1,0,0,0,4
גבעת אלה,1288,944,682,0,682,54,3,2,0,0,0,0,7,0,1,0,0,0,0,0,1,24,47,127,0,0,0,414,0,0,0,0,0,0,0,0,2
גבעת שמואל,681,1890,1426,4,1422,56,39,3,0,0,0,0,500,0,1,0,1,0,0,0,51,57,338,19,0,0,0,271,0,0,0,0,0,0,0,0,86
גזר,370,385,205,1,204,25,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,6,13,47,0,0,0,106,0,0,0,0,0,0,0,0,0
גן חיים,239,542,433,0,433,48,1,3,0,0,0,7,9,0,0,0,0,0,0,0,1,17,37,46,0,0,0,263,0,0,0,0,0,0,0,1,0
גן יבנה,166,1345,1022,4,1018,46,11,1,0,1,0,0,89,0,1,0,0,0,8,0,27,59,435,7,0,0,0,251,1,0,0,0,0,0,0,0,81
גפן,39,266,213,2,211,5,6,0,0,0,0,4,13,0,0,0,0,0,0,0,2,2,109,2,0,0,0,16,0,0,0,0,0,0,0,0,52
גשר,305,416,250,2,248,73,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,6,22,25,0,0,0,115,0,0,0,0,0,0,0,0,0
הוד השרון,9700,737,555,1,554,35,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,18,124,41,0,0,0,304,0,0,0,0,0,0,0,0,22
חבר,1110,345,250,0,250,15,2,0,0,0,0,1,7,0,0,0,0,0,0,0,6,20,131,4,0,0,0,51,0,0,0,0,0,0,0,0,13
חוקוק,374,457,307,0,307,89,0,3,0,0,0,1,8,0,0,0,0,1,0,0,4,9,15,61,0,0,0,115,0,0,1,0,0,0,0,0,0
חורה,1303,1913,688,6,682,28,0,571,0,0,0,0,1,0,1,0,2,0,0,1,1,2,13,11,0,8,0,38,0,1,0,0,0,0,2,0,2
חלץ,820,353,245,1,244,16,2,0,1,0,0,17,18,0,0,0,0,0,0,0,7,4,133,2,0,0,0,16,0,0,0,0,0,0,0,0,28
חצור הגלילית,2034,2323,1543,7,1536,39,45,3,0,0,3,1,78,0,0,0,0,0,13,0,35,102,847,3,0,0,0,87,0,0,2,0,0,0,0,1,277
