סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
1,ירושלים,3000,400131,255602,1753,253849,8696,63713,2325,43,37,0,139,23255,21,100,33,13,29,64,21,8576,7794,58543,9197,41,21,2,29939,75,88,8,25,45,21,22,77,40886
1,רמת רחל,127,358,284,0,284,37,0,0,0,0,0,0,6,0,1,0,0,0,0,0,3,10,23,27,0,0,0,175,0,0,0,0,0,0,0,0,2
2,אביעזר,1070,562,441,0,441,25,0,5,2,0,0,31,31,0,0,0,0,0,0,0,12,28,144,27,0,0,0,120,0,0,0,0,0,0,1,0,15
2,אדורה,3759,246,190,0,190,2,1,1,0,0,0,2,64,0,0,0,0,0,0,0,23,9,51,1,0,0,0,32,0,0,0,0,0,0,0,0,4
2,אדרת,1123,555,396,0,396,15,1,0,0,0,0,45,59,0,1,0,0,0,0,0,4,3,184,10,0,0,0,39,0,0,0,0,0,0,0,0,35
2,אורה,780,847,629,0,629,26,6,0,0,0,0,102,26,0,2,0,0,0,0,0,17,16,187,23,0,0,0,166,1,0,1,0,0,0,0,0,56
2,אלון שבות,3604,2181,1644,3,1641,20,26,3,0,0,0,1,1161,0,1,0,0,0,0,0,87,10,248,11,0,1,0,59,1,1,2,0,0,0,0,1,8
2,אלמוג,3556,198,128,1,127,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,18,11,0,0,0,55,0,0,0,0,0,0,0,0,0
2,אלעזר,3618,711,555,0,555,2,8,1,0,0,0,0,352,0,0,0,0,0,0,0,50,1,114,0,0,0,0,22,0,1,0,0,0,0,0,0,4
2,אספר,3754,371,278,4,274,1,126,0,0,0,0,0,81,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2,אפרת,3650,7067,5309,18,5291,66,63,1,1,0,0,1,3162,0,5,0,1,0,0,0,323,54,1252,12,0,0,0,261,5,2,0,0,0,1,1,0,80
2,אשתאול,740,745,592,4,588,17,15,1,0,0,0,44,33,0,0,0,0,0,0,0,17,8,262,26,0,0,0,76,0,0,0,0,0,0,0,0,89
2,בית אל,3574,3366,2746,7,2739,7,102,0,1,0,0,0,1850,0,1,0,0,0,0,0,365,1,338,2,0,0,0,12,1,0,0,0,0,0,0,0,59
2,בית הערבה,3645,153,126,0,126,5,0,0,0,0,0,0,21,0,2,0,0,0,2,0,0,13,50,4,0,0,0,26,0,0,0,0,0,0,0,1,2
2,בית זית,710,1179,871,1,870,96,12,5,0,0,0,17,39,0,0,0,1,0,0,0,8,30,139,159,0,0,0,351,0,1,0,0,0,0,0,1,11
2,בית חורון,3575,816,673,0,673,13,10,0,0,0,0,2,312,0,0,0,0,0,0,0,49,16,206,2,0,0,0,39,0,0,0,0,0,0,0,0,24
2,בית מאיר,751,377,258,1,257,8,25,0,0,0,0,18,75,0,0,0,0,0,0,0,17,1,76,1,0,0,0,10,0,0,0,0,0,0,0,0,26
2,בית נקופה,672,474,368,0,368,27,2,1,0,0,0,18,15,0,0,0,0,0,0,0,5,16,91,42,1,0,0,132,0,0,0,0,0,0,0,0,18
2,בית שמש,2610,62370,41210,297,40913,522,14757,15,10,2,0,35,3902,4,23,2,2,2,0,9,1471,1469,8708,130,11,2,1,2196,6,43,2,6,7,9,5,13,7549
2,ביתר עילית,3780,24786,20499,132,20367,5,13151,2,2,1,0,0,211,0,3,0,0,0,0,0,755,10,566,6,0,0,0,30,0,0,0,0,0,0,0,0,5625
2,בקוע,864,535,433,1,432,37,2,0,0,0,0,22,27,0,0,0,0,0,0,0,31,10,184,8,0,0,0,88,0,1,0,0,0,0,0,0,22
2,בר גיורא,823,410,299,1,298,14,3,2,0,0,0,20,15,0,0,0,0,0,0,0,10,3,146,20,0,0,0,43,0,0,1,0,0,0,0,0,21
2,בת עין,3794,860,600,4,596,0,25,0,1,0,0,0,220,1,3,0,0,0,0,0,211,1,107,2,0,0,0,4,0,0,0,0,0,0,0,0,21
2,גבע בנימין,3763,3174,2369,6,2363,42,50,1,1,0,0,3,284,1,5,0,0,1,0,0,219,90,995,9,0,0,0,204,0,2,0,0,0,1,0,1,454
2,גבעון החדשה,3644,1018,705,7,698,46,7,1,0,0,0,2,85,2,0,0,0,0,0,0,11,62,248,10,1,0,0,198,1,1,0,0,1,0,0,0,22
2,גבעת זאב,3730,10240,7822,27,7795,152,1778,2,3,0,0,1,700,0,6,0,0,0,0,0,359,214,2380,54,1,0,1,727,1,1,0,0,2,1,0,1,1411
2,גבעת יערים,787,937,714,1,713,49,8,1,0,0,0,119,51,0,0,0,0,0,0,0,17,14,194,73,0,0,0,147,0,1,0,1,0,0,0,1,37
