סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
2,כפר אוריה,364,541,424,0,424,30,0,1,0,0,0,81,25,0,1,0,1,0,0,0,2,7,66,66,0,0,0,140,0,0,0,0,0,0,0,0,4
2,כפר עציון,3488,471,371,5,366,9,1,1,0,0,0,0,217,0,1,0,0,0,0,0,9,3,81,5,0,0,0,38,0,0,0,0,0,0,0,0,1
2,כרמי צור,3766,545,448,0,448,1,22,0,0,0,0,0,278,0,0,0,0,0,0,0,57,1,71,0,0,0,0,4,0,0,0,0,0,0,0,0,14
2,לוזית,52,451,340,1,339,16,8,2,1,0,0,10,22,0,1,0,0,0,0,0,6,8,137,14,0,0,0,63,0,0,0,0,0,0,0,0,51
2,מבשרת ציון,1015,6724,4773,17,4756,322,29,11,0,0,0,13,234,0,1,1,0,2,0,0,94,183,1705,374,0,0,0,1480,3,1,0,0,1,1,3,0,298
2,מוצא עילית,208,529,373,0,373,44,0,4,0,0,0,0,5,0,0,0,0,0,0,0,3,14,62,63,0,0,0,173,0,0,0,0,0,0,0,0,5
2,מסילת ציון,742,687,569,4,565,66,2,1,0,0,0,119,21,0,0,0,0,0,0,0,6,12,66,59,0,0,0,193,0,2,0,0,0,0,0,0,18
2,מעלה אדומים,3616,18802,13233,56,13177,312,215,10,8,3,0,12,2111,2,8,1,1,0,0,1,664,982,6320,81,2,0,0,1447,3,4,0,2,5,1,3,7,972
2,מעלה החמישה,286,557,404,1,403,66,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,8,21,77,0,0,0,221,0,0,0,0,0,0,0,1,0
2,מעלה מכמש,3651,455,360,0,360,3,14,0,0,0,0,1,235,0,0,0,0,0,0,0,40,0,56,0,0,0,0,3,0,0,0,0,0,0,0,0,8
2,מעלה עמוס,3653,341,251,2,249,0,125,0,0,0,0,0,61,0,0,0,0,0,0,0,24,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,21
2,מצפה יריחו,3576,1278,1014,3,1011,5,25,1,0,0,0,0,493,0,0,0,0,0,0,0,256,1,167,4,1,0,0,7,0,0,0,0,0,0,0,0,51
2,מצפה שלם,3610,235,178,1,177,31,1,1,0,0,0,1,34,0,0,0,0,0,0,0,4,9,14,12,0,0,0,67,2,0,0,0,0,0,0,0,1
2,נגוהות,3724,139,123,0,123,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,33,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,נוה צוף,3573,755,596,0,596,1,6,1,0,0,0,1,342,0,1,0,0,0,0,0,105,2,112,2,0,0,0,10,0,0,0,0,0,0,0,0,13
2,נווה אילן,405,690,480,1,479,46,1,3,0,0,0,1,14,1,0,0,0,1,0,0,4,19,89,68,0,0,0,225,0,1,0,0,0,0,0,0,6
2,נווה דניאל,3725,1060,812,1,811,3,16,0,0,0,0,0,517,0,0,0,0,0,0,0,89,2,157,1,0,0,0,21,0,1,0,0,1,0,0,0,3
2,נווה שלום,1259,213,168,0,168,18,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,2,0,10,0,0,0,0,0,0,0,0,0
2,נוקדים,3726,595,427,2,425,6,8,0,0,0,0,0,167,0,1,0,0,0,0,0,24,63,138,1,0,0,0,10,0,0,0,0,0,0,0,0,7
2,נחושה,59,769,596,3,593,13,9,0,0,0,0,2,340,0,0,0,0,0,0,0,35,2,119,2,0,0,0,48,0,0,0,0,0,0,0,0,23
2,נחליאל,3767,330,259,1,258,0,47,0,0,0,0,0,62,0,0,0,0,0,0,0,74,0,32,0,0,0,0,1,0,0,0,0,0,1,0,0,41
2,נחשון,777,462,351,1,350,26,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,6,18,159,0,0,0,132,0,0,0,0,0,0,0,0,0
2,נטף,1254,356,281,1,280,44,0,8,0,1,0,0,8,0,0,0,0,0,0,0,0,2,4,128,0,0,0,84,1,0,0,0,0,0,0,0,0
2,נעמ"ה,3713,143,82,1,81,4,0,0,0,0,0,3,6,0,0,0,0,0,0,0,2,4,25,2,0,0,0,35,0,0,0,0,0,0,0,0,0
2,נתיב הגדוד,3555,228,156,0,156,52,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,6,34,4,0,0,0,49,0,0,0,0,0,0,0,0,1
2,נתיב הל"ה,693,458,349,0,349,79,0,3,0,0,0,2,0,0,4,0,0,0,0,0,2,12,9,61,0,0,0,177,0,0,0,0,0,0,0,0,0
2,עופרה,3617,1879,1445,2,1443,4,8,1,0,0,0,1,986,0,0,0,0,0,0,0,152,3,248,1,0,0,0,27,0,0,0,0,0,0,0,1,11
2,עטרת,3658,298,255,0,255,0,7,0,0,0,0,0,187,0,0,0,0,0,0,0,40,0,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,עמיחי,3824,71,68,0,68,0,2,1,0,0,0,0,18,0,0,0,0,0,0,0,27,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,10
2,עמינדב,779,641,470,0,470,27,2,3,0,0,0,82,36,0,0,0,0,0,0,0,3,19,130,45,0,0,0,112,0,1,0,0,0,0,0,0,10
2,פני חבר,3723,222,174,2,172,1,12,0,0,0,0,0,97,0,0,0,0,0,0,0,35,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,6
2,צובה,465,623,403,1,402,150,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,9,16,70,0,0,0,146,0,1,0,0,0,0,0,2,1
2,צור הדסה,1113,2609,2019,6,2013,152,14,7,0,0,0,3,229,0,1,0,0,2,0,0,33,145,544,171,0,0,0,678,0,0,0,0,0,0,0,1,33
2,צלפון,796,671,498,3,495,22,1,0,0,0,0,58,24,0,2,0,0,0,0,0,25,9,238,11,0,0,0,75,0,0,0,0,0,0,0,0,30
2,צפרירים,1079,305,217,0,217,16,1,4,0,0,0,57,4,0,1,0,0,0,0,0,6,4,37,18,0,0,0,51,0,0,0,0,0,0,0,0,18
